"","Overall","Confirmed","Probable"
"25/02","0","0","0"
"26/02","2","2","0"
"27/02","2","2","0"
"28/02","2","2","0"
"29/02","2","2","0"
"01/03","2","2","0"
"02/03","4","4","0"
"03/03","4","4","0"
"04/03","8","8","0"
"05/03","12","10","2"
"06/03","14","12","2"
"07/03","14","12","2"
"08/03","14","12","2"
"09/03","14","12","2"
"10/03","14","12","2"
"11/03","14","12","2"
"12/03","16","14","2"
"13/03","18","16","2"
"14/03","20","18","2"
"15/03","22","20","2"
"16/03","36","34","2"
"17/03","60","57","3"
"18/03","70","67","3"
"19/03","106","101","5"
"20/03","128","123","5"
"21/03","176","171","5"
"22/03","264","254","10"
"23/03","346","332","14"
"24/03","439","422","17"
"25/03","523","502","21"
"26/03","602","571","31"
"27/03","677","640","37"
"28/03","749","705","44"
"29/03","823","772","51"
"30/03","875","816","59"
"31/03","952","880","72"
"01/04","1025","940","85"
"02/04","1107","999","108"
"03/04","1182","1054","128"
"04/04","1259","1101","158"
"05/04","1329","1145","184"
"06/04","1382","1176","206"
"07/04","1419","1200","219"
"08/04","1447","1217","230"
"09/04","1491","1247","244"
"10/04","1518","1255","263"
"11/04","1543","1268","275"
"12/04","1563","1279","284"
"13/04","1574","1282","292"
"14/04","1590","1290","300"
"15/04","1601","1294","307"
"16/04","1618","1307","311"
"17/04","1630","1313","317"
"18/04","1640","1318","322"
"19/04","1650","1325","325"
"20/04","1653","1325","328"
"21/04","1659","1326","333"
"22/04","1664","1328","336"
"23/04","1669","1331","338"
"24/04","1675","1335","340"
"25/04","1681","1336","345"
"26/04","1684","1338","346"
"27/04","1687","1341","346"
"28/04","1688","1342","346"
"29/04","1690","1344","346"
"30/04","1693","1347","346"
"01/05","1699","1351","348"
"02/05","1699","1351","348"
"03/05","1700","1352","348"
"04/05","1700","1352","348"
"05/05","1702","1353","349"
"06/05","1704","1355","349"
"07/05","1705","1356","349"
"08/05","1706","1356","350"
"09/05","1707","1357","350"
"10/05","1710","1360","350"
"11/05","1710","1360","350"
"12/05","1710","1360","350"
"13/05","1710","1360","350"
"14/05","1711","1361","350"
"15/05","1712","1362","350"
"16/05","1712","1362","350"
"17/05","1712","1362","350"
"18/05","1712","1362","350"
"19/05","1712","1362","350"
"20/05","1712","1362","350"
"21/05","1712","1362","350"
"22/05","1713","1363","350"
"23/05","1713","1363","350"
"24/05","1713","1363","350"
"25/05","1713","1363","350"
"26/05","1713","1363","350"
"27/05","1713","1363","350"
"28/05","1713","1363","350"
"29/05","1713","1363","350"
"30/05","1713","1363","350"
"31/05","1713","1363","350"
"01/06","1713","1363","350"
"02/06","1713","1363","350"
"03/06","1713","1363","350"
"04/06","1713","1363","350"
"05/06","1713","1363","350"
"06/06","1713","1363","350"
"07/06","1713","1363","350"
"08/06","1713","1363","350"
"09/06","1713","1363","350"
"10/06","1713","1363","350"
"11/06","1713","1363","350"
"12/06","1713","1363","350"
"13/06","1713","1363","350"
"14/06","1713","1363","350"
"15/06","1713","1363","350"
"16/06","1715","1365","350"
"17/06","1716","1366","350"
"18/06","1716","1366","350"
"19/06","1718","1368","350"
"20/06","1719","1369","350"
"21/06","1722","1372","350"
"22/06","1724","1374","350"
"23/06","1725","1375","350"
"24/06","1728","1378","350"
"25/06","1729","1379","350"
"26/06","1730","1380","350"
"27/06","1735","1385","350"
"28/06","1736","1386","350"
"29/06","1737","1387","350"
"30/06","1737","1387","350"
"01/07","1738","1388","350"
"02/07","1739","1389","350"
"03/07","1739","1389","350"
"04/07","1739","1389","350"
"05/07","1742","1392","350"
"06/07","1745","1395","350"
"07/07","1747","1397","350"
"08/07","1749","1399","350"
