Date,Cumulative cases / day
25-01-20,4
26-01-20,4
27-01-20,5
28-01-20,5
29-01-20,9
30-01-20,9
31-01-20,9
01-02-20,10
02-02-20,12
03-02-20,12
04-02-20,13
05-02-20,14
06-02-20,15
07-02-20,15
08-02-20,15
09-02-20,15
10-02-20,15
11-02-20,15
12-02-20,15
13-02-20,15
14-02-20,15
15-02-20,15
16-02-20,15
17-02-20,15
18-02-20,15
19-02-20,15
20-02-20,15
21-02-20,19
22-02-20,20
23-02-20,20
24-02-20,20
25-02-20,20
26-02-20,20
27-02-20,23
28-02-20,25
29-02-20,25
01-03-20,28
02-03-20,32
03-03-20,40
04-03-20,51
05-03-20,59
06-03-20,63
07-03-20,73
08-03-20,80
09-03-20,92
10-03-20,112
11-03-20,127
12-03-20,157
13-03-20,198
14-03-20,249
15-03-20,297
16-03-20,376
17-03-20,454
18-03-20,567
19-03-20,709
20-03-20,847
21-03-20,"1,072"
22-03-20,"1,352"
23-03-20,"1,680"
24-03-20,"2,050"
25-03-20,"2,430"
26-03-20,"2,809"
27-03-20,"3,180"
28-03-20,"3,640"
29-03-20,"3,984"
30-03-20,"4,250"
31-03-20,"4,561"
01-04-20,"4,864"
02-04-20,"5,137"
03-04-20,"5,362"
04-04-20,"5,552"
05-04-20,"5,693"
06-04-20,"5,799"
07-04-20,"5,918"
08-04-20,"6,023"
09-04-20,"6,108"
10-04-20,"6,214"
11-04-20,"6,302"
12-04-20,"6,324"
13-04-20,"6,365"
14-04-20,"6,414"
15-04-20,"6,637"
16-04-20,"6,667"
17-04-20,"6,714"
18-04-20,"6,756"
19-04-20,"6,800"
20-04-20,"6,813"
21-04-20,"6,835"
22-04-20,"6,842"
23-04-20,"6,850"
24-04-20,"6,867"
25-04-20,"6,885"
26-04-20,"6,904"
27-04-20,"6,911"
28-04-20,"6,923"
29-04-20,"6,936"
30-04-20,"6,944"
01-05-20,"6,957"
02-05-20,"6,972"
03-05-20,"6,990"
04-05-20,"7,014"
05-05-20,"7,040"
06-05-20,"7,064"
07-05-20,"7,086"
08-05-20,"7,104"
09-05-20,"7,118"
10-05-20,"7,130"
11-05-20,"7,137"
12-05-20,"7,157"
13-05-20,"7,168"
14-05-20,"7,183"
15-05-20,"7,214"
16-05-20,"7,231"
17-05-20,"7,239"
18-05-20,"7,248"
19-05-20,"7,256"
20-05-20,"7,267"
21-05-20,"7,269"
22-05-20,"7,283"
23-05-20,"7,296"
24-05-20,"7,299"
25-05-20,"7,303"
26-05-20,"7,318"
27-05-20,"7,324"
28-05-20,"7,342"
29-05-20,"7,358"
30-05-20,"7,369"
31-05-20,"7,379"
01-06-20,"7,387"
02-06-20,"7,404"
03-06-20,"7,412"
04-06-20,"7,423"
05-06-20,"7,434"
06-06-20,"7,436"
07-06-20,"7,440"
08-06-20,"7,446"
09-06-20,"7,448"
10-06-20,"7,455"
11-06-20,"7,464"
12-06-20,"7,468"
13-06-20,"7,481"
14-06-20,"7,499"
15-06-20,"7,514"
16-06-20,"7,526"
17-06-20,"7,549"
18-06-20,"7,570"
19-06-20,"7,588"
20-06-20,"7,614"
21-06-20,"7,639"
22-06-20,"7,652"
23-06-20,"7,670"
24-06-20,"7,699"
25-06-20,"7,735"
26-06-20,"7,772"
27-06-20,"7,818"
28-06-20,"7,863"
29-06-20,"7,944"
30-06-20,"8,011"
01-07-20,"8,097"
02-07-20,"8,178"
03-07-20,"8,243"
04-07-20,"8,349"
05-07-20,"8,436"
06-07-20,"8,573"
07-07-20,"8,742"
08-07-20,"8,872"
09-07-20,"9,045"
10-07-20,"9,345"
11-07-20,"9,537"
12-07-20,"9,781"
13-07-20,"9,964"
14-07-20,"10,235"
15-07-20,"10,479"
16-07-20,"10,794"
17-07-20,"11,219"
18-07-20,"11,423"
19-07-20,"11,784"
20-07-20,"12,052"
21-07-20,"12,410"
22-07-20,"12,878"
23-07-20,"13,285"
24-07-20,"13,574"
25-07-20,"13,927"
26-07-20,"14,380"
27-07-20,"14,912"
28-07-20,"15,281"
29-07-20,"15,560"
30-07-20,"16,277"
31-07-20,"16,880"
01-08-20,"17,254"
02-08-20,"17,895"
03-08-20,"18,290"
04-08-20,"18,702"
05-08-20,"19,416"
06-08-20,"19,863"
07-08-20,"20,273"
08-08-20,"20,698"
09-08-20,"21,084"
10-08-20,"21,397"
11-08-20,"21,714"
12-08-20,"22,127"
13-08-20,"22,358"
14-08-20,"22,742"
15-08-20,"23,035"
16-08-20,"23,288"
17-08-20,"23,559"
18-08-20,"23,773"
19-08-20,"23,993"
20-08-20,"24,236"
