"","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"21/02","20","0","0","0","0","0","0","0"
"22/02","1,320","0","0","0","378","0","88","50"
"23/02","1320","580","203","168","378","0","88","50"
"24/02","3220","1255","527","403","800","383","88","250"
"25/02","5500","2063","942","743","1240","807","88","524"
"26/02","7500","2894","1377","1053","1654","1153","581","777"
"27/02","7500","3613","2030","1371","2299","1153","581","980"
"28/02","7500","3762","2030","1481","2584","1153","581","980"
"01/03","10339","3862","2030","1630","2879","1165","748","978"
"02/03","12424","5020","3010","1920","2862","1165","1000","1173"
"03/03","15000","6676","4212","2326","3519","1165","1000","1319"
"04/03","16805","8645","5409","2682","4346","1970","1588","1563"
"05/03","19027","10907","6534","3062","5546","2327","1840","1757"
"06/03","19027","12851","8008","3455","6616","2327","1840","1949"
"07/03","19027","13578","8300","3585","6872","2327","1840","1949"
"08/03","21763","14422","8300","3705","7840","2327","2066","1951"
"09/03","23923","15494","10092","3824","9289","2327","2349","2157"
"10/03","27000","18325","11996","4274","11373","2713","2684","2382"
"11/03","31313","22317","13989","4871","13498","3255","3070","2687"
"12/03","31313","25948","16120","5822","15952","3667","3262","3025"
"13/03","36820","30298","18411","6878","17748","3667","3519","3667"
"14/03","36820","31202","18705","7124","18391","3667","3519","3363"
"15/03","37553","31808","18705","7272","18948","3853","3519","3363"
"16/03","37553","35282","21861","8300","20550","4616","3715","3869"
"17/03","46820","38948","25173","9831","22944","5765","4096","4373"
"18/03","51607","42989","28533","11362","25503","6715","4473","4875"
"19/03","51607","47731","32527","12961","28134","7631","4784","5379"
"20/03","51607","52283","36704","14051","30571","7631","5083","5901"
"21/03","51607","53681","37002","14365","31512","7631","5083","5901"
"22/03","64650","55023","37002","14916","32115","8267","5083","6536"
"23/03","72943","59509","40870","16949","34877","8843","5371","7251"
"24/03","72943","63894","45068","17751","36690","9854","5679","7513"
"25/03","72943","69592","49462","19255","39259","11007","6186","8035"
"26/03","89196","75626","53893","20832","41665","11728","6578","8563"
"27/03","89196","80698","58439","22272","44047","11728","6578","9096"
"28/03","89196","84210","58930","22497","44542","11728","6578","9429"
"29/03","96273","86282","59126","22787","45091","13091","7027","9746"
"30/03","96273","92765","65129","24145","47701","13750","7364","10281"
"31/03","100000","99065","71942","25535","50731","13750","7789","10819"
"01/04","117389","107522","79534","27023","53482","15077","8277","11361"
"02/04","124345","115077","87220","28337","56337","15077","8277","11361"
"03/04","125195","115987","88248","28614","56649","15077","8277","12430"
"04/04","126494","116234","88282","28759","56872","17511","8647","12778"
"05/04","126526","116677","88282","28933","57018","17511","8717","13110"
"06/04","127339","117700","89350","29355","57464","17511","9028","13774"
"07/04","134323","123759","94762","30735","59765","17511","9600","14445"
"08/04","140551","129537","100298","32635","62297","19903","9600","15134"
"09/04","316187","261050","222884","80497","113531","40196","14117","29049"
"10/04","335270","274306","235734","86580","118673","42988","14966","30349"
"11/04","342315","281714","240995","88589","121718","44886","15000","31351"
"12/04","344318","285242","243254","89762","122772","45555","15026","32373"
"13/04","348677","288720","246359","91312","124521","46442","15026","32974"
"14/04","382687","312718","266103","99037","134000","49681","16478","34968"
"15/04","403138","327299","279116","105120","139686","51454","17197","36295"
"16/04","422480","341481","291966","110105","145210","54085","17812","37438"
"17/04","440396","354490","302123","114532","150295","55655","18560","38486"
"18/04","447239","359773","305403","116268","152938","56765","18607","39615"
"19/04","468824","378550","340250","119102","163999","56800","18744","39983"
"20/04","488757","395255","353927","124380","171221","58706","19324","41716"
"21/04","509499","410329","367092","129219","177991","60820","19978","43179"
"22/04","530891","427266","380702","134182","184432","63004","20827","44394"
"23/04","550342","446451","396676","139034","190610","65305","21741","45442"
"24/04","568181","459846","409564","143378","197179","66721","22391","46787"
"25/04","573892","466222","412925","144254","199233","67462","22398","47701"
"26/04","574417","467331","413242","144539","199741","67613","22398","48204"
"27/04","588050","479185","414776","145483","201378","69186","22424","48855"
"28/04","604810","496380","427172","149640","207416","71040","22928","50158"
"29/04","630218","516869","444065","155478","216384","73597","23612","52062"
"30/04","649898","533674","458425","160798","223689","75483","24324","53253"
"01/05","667243","546177","469400","165372","230229","76953","25081","54389"
"02/05","672362","551141","472629","166950","233040","77752","25101","55099"
"03/05","673278","553422","473522","167476","234312","77971","25151","55483"
"04/05","691136","572577","475570","172408","242514","80652","24877","57235"
"05/05","713270","596444","490527","177984","250715","82905","25636","58833"
"06/05","735153","618981","505559","183785","258935","84272","26597","60247"
"07/05","757224","643545","521357","189465","267409","86116","27705","61710"
"08/05","778812","662073","536187","195350","275020","88403","28534","63346"
"09/05","786154","670029","539468","197191","278690","89699","28640","64467"
"10/05","787274","673242","541260","197811","280109","89806","28676","65043"
"11/05","808251","695286","553579","202578","288024","91764","29675","66950"
