"","Daily (bars)","Cumulative (line)"
"10/04","5,635","138,687"
"11/04","3,380","142,067"
"12/04","923","142990"
"13/04","0","142990"
"14/04","9830","152820"
"15/04","5872","158692"
"16/04","5956","164648"
"17/04","6066","170714"
"18/04","1637","172351"
"19/04","534","172885"
"20/04","4635","177520"
"21/04","6018","183538"
"22/04","5783","189321"
"23/04","5248","194569"
"24/04","5508","200077"
"25/04","1771","201848"
"26/04","0","201848"
"27/04","3355","205203"
"28/04","5567","210770"
"29/04","8030","218800"
"30/04","8134","226934"
"01/05","5423","232357"
"02/05","1499","233856"
"03/05","601","234457"
"04/05","3825","238282"
"05/05","5218","243500"
"06/05","5485","248985"
"07/05","5647","254632"
"08/05","5984","260616"
"09/05","1182","261798"
"10/05","298","262096"
"11/05","5024","267120"
"12/05","6879","273999"
"13/05","5987","279986"
"14/05","7806","287792"
"15/05","7020","294812"
"16/05","1524","296336"
"17/05","0","296336"
"18/05","4690","301026"
"19/05","6383","307409"
"20/05","5665","313074"
"21/05","7001","320075"
"22/05","5763","325838"
"23/05","184","326022"
"24/05","95","326117"
"25/05","3943","330060"
"26/05","2966","333026"
"27/05","4201","337227"
"28/05","4411","341638"
"29/05","4471","346109"
"30/05","-543","345566"
"31/05","17","345583"
"01/06","3458","349041"
"02/06","12469","361510"
"03/06","3934","365444"
"04/06","5151","370595"
"05/06","4595","375190"
"06/06","343","375533"
"07/06","0","375533"
"08/06","3133","378666"
"09/06","6300","384966"
"10/06","5194","390160"
"11/06","4926","395086"
"12/06","4917","400003"
"13/06","689","400692"
"14/06","410","401102"
"15/06","743","401845"
"16/06","9078","410923"
"17/06","-2058","408865"
"18/06","2970","411835"
"19/06","2588","414423"
"20/06","132","414555"
"21/06","0","414555"
"22/06","1737","416292"
"23/06","2265","418557"
"24/06","2574","421131"
"25/06","2471","423602"
"26/06","2997","426599"
"27/06","146","426745"
"28/06","66","426811"
"29/06","2727","429538"
"30/06","3105","432643"
"01/07","2569","435212"
"02/07","3582","438794"
"03/07","4298","443092"
"04/07","609","443701"
"05/07","522","444223"
"06/07","3311","447534"
"07/07","3723","451257"
"08/07","2938","454195"
"09/07","3088","457283"
"10/07","2609","459892"
"11/07","779","460671"
"12/07","505","461176"
"13/07","3871","465047"
"14/07","3416","468463"
"15/07","2806","471269"
"16/07","4427","475696"
"17/07","3478","479174"
"18/07","2547","481721"
"19/07","90","481811"
"20/07","2958","484769"
"21/07","3705","488474"
"22/07","2260","490734"
"23/07","4156","494890"
"24/07","4646","499536"
"25/07","940","500476"
"26/07","594","501070"
"27/07","4009","505079"
"28/07","3676","508755"
"29/07","3999","512754"
"30/07","5727","518481"
"31/07","4418","522899"
"01/08","84","522983"
"02/08","1254","524237"
"03/08","8055","532292"
"04/08","2083","534375"
"05/08","4310","538685"
"06/08","6634","545319"
"07/08","4090","549409"
"08/08","9241","558650"
"09/08","0","558650"
"10/08","6046","564696"
"11/08","1723","566419"
"12/08","5735","572154"
"13/08","5501","577655"
"14/08","6717","584372"
"15/08","360","584732"
"16/08","76229","660961"
"17/08","4922","665883"
"18/08","3686","669569"
"19/08","13527","683096"
"20/08","10104","693200"
"21/08","8097","701297"
"22/08","5773","707070"
"23/08","2749","709819"
"24/08","4800","714619"
"25/08","10495","725114"
"26/08","9985","735099"
"27/08","12767","747866"
"28/08","9233","757099"
"29/08","5288","762387"
"30/08","2594","764981"
"31/08","-6895","758086"
"01/09","5613","763699"
"02/09","12329","776028"
"03/09","10361","786389"
"04/09","7129","793518"
"05/09","5473","798991"
"06/09","2112","801103"
"07/09","2672","803775"
"08/09","9350","813125"
"09/09","11122","824247"
"10/09","11930","836177"
"11/09","10387","846564"
"12/09","7996","854560"
"13/09","5416","859976"
"14/09","10243","870219"
"15/09","7503","877722"
"16/09","16347","894069"
"17/09","10555","904624"
"18/09","2202","906826"
"19/09","6213","913039"
"20/09","4984","918023"
"21/09","6421","924444"
"22/09","9707","934151"
"23/09","8415","942566"
"24/09","7894","950460"
"25/09","0","950460"
